id,rating,content,source,final_emotion,final_category,length,split
622,1.0,Жахливе місце. Жахлива черга. Ніхто нічого підказати не може.,original,Anger,Complaint / Dissatisfaction,61,train
15442,1.0,"Жахливе відношення до людей,які  записані на один час, а чекають набагато довше.Не рекомендую,через те що люди розплановують собі день,а чекати під дверима потрібно довго!!!!",original,Anger,Complaint / Dissatisfaction,174,train
3201,3.0,"Як були черги величезні та багатогодинні, так і залишилися. Ганьба. Електронна хвалена черга приймає запис із мого питання 20 жовтня на 7 листопада найближча дата. У результаті просто пекло!  я 242 у черзі, людей у черзі з мого ж питання…",original,Anger,Complaint / Dissatisfaction,238,train
13484,,"Сьогодні відвідала ЦНАП(була екскурсія від ініверситету),де розповідали корисну інформацію. Говорили про особливості адміністративних послуг, нові зміни в законодавстві та практичні аспекти роботи з документами. Для юристів це було особливо…",original,Happiness,Gratitude / Positive Feedback,241,train
6777,1.0,Пиляток на всьому. Ряд об'єктів почали і не доробили.,original,Anger,Complaint / Dissatisfaction,53,train
9905,2.0,"Вступив на ІСТ цього року, тепер молюся, щоб переклали на ПУА, адже це реально професія майбутнього!",original,Happiness,Question / Request for Help,100,train
8422,5.0,"Напередодні зареєструвалась в онлайн черзі. Мене прийняли як і зазначалось в квитку о 12-00. За 20 хвилин оформили документи на отримання грошей на пакунок малюка, тому я дуже задоволена, що все пройшло швидко. Але якщо брати квиток на…",original,Happiness,Gratitude / Positive Feedback,236,train
10001862,,"а по факту ми і дальше просимо боєприпаси,ппо,ракети великої дальності",original,Sadness,Question / Request for Help,70,train
16607,5.0,"Півгодини перечитував і ""лайкав коментарі"")). Намагався зрозуміти – чим для мене є Резиденція? Начебто все правильно написано і чогось не вистачає... Для мене це місце - обитель душі Буковини. Це головна святиня та нереальна казка…",original,Happiness,Gratitude / Positive Feedback,231,train
9148,5.0,"Команда професійних, ефективних та високомотивованих у своїй справі спеціалістів . Рекомендую до співпраці.",original,Happiness,Gratitude / Positive Feedback,107,train
17026,5.0,"Оформлювали закордонний паспорт. Працівники все гарно розповіли, дитині дали розмальовки.
Усе швидко оформили.
Дякую!",original,Happiness,Gratitude / Positive Feedback,117,train
10002,4.0,"в шарагі все супер, тільки є мінус це жахливі робочі місця. Якщо в комп'ютерному класі ще норм стільці стоять, то в аудиторіях стоять стародавні парти, тому неможливо не заробити собі пару гриж, особливо слухаючи докучливих викладачів 1.20 годин...",original,Anger,Complaint / Dissatisfaction,248,train
5284,4.0,"Нещодавно почала вивчати в Академії Крок напрямок інтернет-маркетинг. Перше, що радує, так це те, що на потоці +- прийшли люди з таким же розумінням цієї сфери (був досвід в іншій школі, де люди вже працювали у сфері реклами не один рік, а…",original,Happiness,Gratitude / Positive Feedback,240,train
10615,3.0,Вадім Приходько найкращий учень із золотою медаллю!😍…,original,Happiness,Gratitude / Positive Feedback,53,train
8409,5.0,Дуже дякую за допомогу в моїй справі.Буду радити своїм знайомим тільки Адвокадське бюро Зелінської.Ще раз дякую!!!,original,Happiness,Gratitude / Positive Feedback,114,train
13268,5.0,"Один із небагатьох закладів у такому роді. По Україні їх на пальцях порахувати можна. Велика територія, прекрасний стадіон з тренажорами, багато різних дерев та кущів і вони доглянуті. А також є буфет і через дорогу є їдальня. Викладачі чудові. Якщо хочете здобути хорошу освіту, то раджу йти сюди.",original,Happiness,Gratitude / Positive Feedback,298,train
2591,5.0,"Робили операцію нашій кішці у цій клініці, залишилися дуже задоволені. Швидко, якісно та недорого.",original,Happiness,Gratitude / Positive Feedback,98,train
5375,1.0,"Дизайн чудовий, м'які дивани та привітні працівники... Але, на основному сайті 2! телефону невірно вказані: один PR відділу (не закріплений ні за одним користувачем) і HR відділу бере хлопець і каже що постійно йому телефонують...…",original,Anger,Complaint / Dissatisfaction,231,train
3800,5.0,"Дуже оперативно зробили оцінку, задоволений обслуговуванням та ціною!",original,Happiness,Gratitude / Positive Feedback,69,train
17344,5.0,"Дуже вдячна за співпрацю працівникам ЦНАП, зокрема Головану Олексію Григоровичу, які до вирішення питань завжди ставляться відповідально, оперативно та враховують кожну ситуацію індивідуально.",original,Happiness,Gratitude / Positive Feedback,192,train
13470,1.0,Те що взяти талон день в день не реально це нормальна практика. Але навіщо мати сайт де начебто можна взяти талон і їх немає навіть через місяць? На електронні звернення теж ніякої реакції. Я їх написала два.…,original,Anger,Complaint / Dissatisfaction,209,train
3356,,"Просто жах! Пішла подавати заяву на аліменти до суду та була шокована. Співробітниці кабінету №5 поводяться по відношенню до відвідувачів огидно! Складається враження, що я прийшла до них додому та прошу дати мені грошей. З таким…",original,Anger,Complaint / Dissatisfaction,230,train
9163,5.0,"Дуже вдячний, швидко допомогли  отримати відстрочку",original,Happiness,Gratitude / Positive Feedback,51,train
16723,5.0,"Відмінна екскурсія, не довго, але все по темі і з гумором. Дуже гарна територія.",original,Happiness,Gratitude / Positive Feedback,80,train
13465,5.0,"Дуже приємно спілкуватися із вашими спеціалістами. Вічливі, приємні, а особливо адміністратор Яремчук Наталія, яка на всі питання надала грунтовні та повні відповіді. Так і на далі тримати. Слава Україні!!!",original,Happiness,Gratitude / Positive Feedback,206,train
11058,1.0,Дуже цікаво як в Українському університеті працюють педагоги які підтримують росію. Ще й займають вищі посади.  Стосується Калмикова та її сина. Невже немає викладачів які їх можуть замінити?,original,Anger,Complaint / Dissatisfaction,191,train
